AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
11001,WVI-00000002.GK-TST-02.Alarms.Alarm_11001,GK-TST-02.Alarms.Alarm_11001,11001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
11002,WVI-00000002.GK-TST-02.Alarms.Alarm_11002,GK-TST-02.Alarms.Alarm_11002,11002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
11003,WVI-00000002.GK-TST-02.Alarms.Alarm_11003,GK-TST-02.Alarms.Alarm_11003,11003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
12000,WVI-00000002.GK-TST-02.Alarms.Alarm_12000,GK-TST-02.Alarms.Alarm_12000,12000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
12001,WVI-00000002.GK-TST-02.Alarms.Alarm_12001,GK-TST-02.Alarms.Alarm_12001,12001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
12002,WVI-00000002.GK-TST-02.Alarms.Alarm_12002,GK-TST-02.Alarms.Alarm_12002,12002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
13000,WVI-00000002.GK-TST-02.Alarms.Alarm_13000,GK-TST-02.Alarms.Alarm_13000,13000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
13001,WVI-00000002.GK-TST-02.Alarms.Alarm_13001,GK-TST-02.Alarms.Alarm_13001,13001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
13002,WVI-00000002.GK-TST-02.Alarms.Alarm_13002,GK-TST-02.Alarms.Alarm_13002,13002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
13003,WVI-00000002.GK-TST-02.Alarms.Alarm_13003,GK-TST-02.Alarms.Alarm_13003,13003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20000,WVI-00000002.GK-TST-02.Alarms.Alarm_20000,GK-TST-02.Alarms.Alarm_20000,20000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20001,WVI-00000002.GK-TST-02.Alarms.Alarm_20001,GK-TST-02.Alarms.Alarm_20001,20001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20002,WVI-00000002.GK-TST-02.Alarms.Alarm_20002,GK-TST-02.Alarms.Alarm_20002,20002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20003,WVI-00000002.GK-TST-02.Alarms.Alarm_20003,GK-TST-02.Alarms.Alarm_20003,20003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20004,WVI-00000002.GK-TST-02.Alarms.Alarm_20004,GK-TST-02.Alarms.Alarm_20004,20004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
